"name","logo","homepage_url","crunchbase"
"Accord Project, LLC","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/accordprojectllc.svg","https://accordproject.org/",""
"Alastria Blockchain Ecosystem","","https://alastria.io/",""
"Alliance of Blockchain Industry, Z-park","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/alliance-of-blockchain-industry%2C-z-park.svg","https://zgc-blockchain.cn/",""
"Association of Blockchain Developers of Saint-Petersburg","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/association_of_blockchain_developers_of_saint-petersburg.svg","https://spblockchain.ru/",""
"Beijing Truth Technology Co., Ltd.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/beijingtruthtechnologyco.ltd..svg","https://truthso.com/",""
"BinaryStar","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/binarystar.svg","https://binary-star.business/",""
"CERTH (Centre for Research and Technology Hellas)","","https://certh.gr/",""
"Chainstack","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/chainstack.svg","https://chainstack.com/",""
"Circulor Ltd.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/circulor-ltd.svg","https://circulor.com/",""
"Clear Blockchain Technologies Pte Ltd","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/clearblockchaintechnologiespteltd.svg","https://clearx.io/",""
"Construction Blockchain Consortium","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/construction_blockchain_consortium.svg","https://constructionblockchain.org/",""
"CULedger, LLC","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/culedger.svg","https://culedger.com/",""
"Decentralized Identity Foundation","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/decentralized_identity_foundation.svg","https://identity.foundation/",""
"Depository Trust and Clearing Corporation (DTCC)","","https://dtcc.com/","https://www.crunchbase.com/organization/dtcc"
"Directorate of IT, Maharashtra","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/directorateofitmaharashtra.svg","https://masarashtra.gov.in/",""
"Distributed Ledger Technologies (DLT) Pte Ltd.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/distributedledgertechnologiesdltpteltd..svg","https://dlt.sg/",""
"Easy Visible Supply Chain Management Company Limited","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/easyvisiblesupplychainmanagementcompanylimited.svg","https://easy-visible.com/",""
"EDF","","https://edf.fr/","https://www.crunchbase.com/organization/edf"
"EMURGO","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/emurgo.svg","https://emurgo.io/",""
"Enterprise Ethereum Alliance","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/enterprise-ethereum-alliance.svg","https://entethalliance.org/",""
"Estateably Inc.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/estateably-inc.svg","https://estateably.com/",""
"ETC Cooperative (The Ethereum Classic Cooperative)","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/etccooperativetheethereumclassiccooperative.svg","https://etccooperative.org/",""
"Federal Reserve Bank of Boston","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/federal_reserve_bank_of_boston.svg","https://frb.org/",""
"Flowchain","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/flowchain.svg","https://flowchain.co/",""
"FORFIRM Consulting Limited LTD","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/forfirmconsultinglimitedltd.svg","https://forfirm.com/",""
"Global Blockchain Business Council","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/global_blockchain_business_council.svg","https://gbbcouncil.org/",""
"Government of Bermuda","","https://gov.bm/",""
"Guangzhishu (Beijing) Technology Co., Ltd.","","https://points.org/",""
"Initiative for CryptoCurrencies and Contracts (IC3)","","https://initc3.org/",""
"Input Output HK Limited","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/input-output-hk-limited.svg","https://iohk.io/",""
"Investrata Foundation for Social Entrepreneurship (IFSE)","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/investratafoundationforsocialentrepreneurshipifse.svg","https://investrata.org/",""
"IOS Foundation","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/ios_foundation.svg","https://iost.io/",""
"IOV Labs Ltd","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/iovlabsltd.svg","https://iovlabs.org/",""
"IPChain Association","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/ipchain-association.svg","https://ipchain.ru/",""
"Joisto Group Oy","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/joistogroupoy.svg","https://joisto.com/",""
"Kerala Blockchain Academy","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/kerala_blockchain_academy.svg","https://kba.ai/",""
"Ledger Leopard","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/ledger_leopard.svg","https://ledgerleopard.com/",""
"LedgerDomain Inc","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/ledgerdomain_inc.svg","https://ledgerdomain.com/",""
"Liquidus","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/liquidus.svg","https://liquidus.io/",""
"MediConCen Limited","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/mediconcen_limited.svg","https://mediconcen.com/",""
"Milligan Partners","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/milligan_partners.svg","https://milliganpartners.com/",""
"Ministry of Finance of the Republic of Lithuania","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/ministryoffinanceoftherepublicoflithuania.svg","https://lrv.lt/",""
"Mobility Open Blockchain Initiative (MOBI)","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/mobilityopenblockchaininitiativemobi.svg","https://dlt.mobi/",""
"NAFCU (National Association of Federally-Insured Credit Unions)","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/nafcunationalassociationoffederally-insuredcreditunions.svg","https://nafcu.org/",""
"National Association of Realtors","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/national_association_of_realtors.svg","https://realtors.org/",""
"National Institute of Telecommunications (Ministry of Digital Affairs Poland)","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/nationalinstituteoftelecommunicationsministryofdigitalaffairspoland.svg","https://itl.waw.pl/",""
